sample interval	   MLII
(0,002 sec)	   (mV)
1961		0.045
1962		0.050
1963		0.055
1964		0.060
1965		0.060
1966		0.060
1967		0.060
1968		0.060
1969		0.060
1970		0.060
1971		0.065
1972		0.065
1973		0.070
1974		0.075
1975		0.080
1976		0.085
1977		0.090
1978		0.090
1979		0.095
1980		0.100
1981		0.105
1982		0.110
1983		0.110
1984		0.115
1985		0.115
1986		0.115
1987		0.115
1988		0.115
1989		0.115
1990		0.110
1991		0.105
1992		0.100
1993		0.100
1994		0.100
1995		0.095
1996		0.095
1997		0.095
1998		0.095
1999		0.095
2000		0.095
2001		0.090
2002		0.085
2003		0.085
2004		0.080
2005		0.075
2006		0.075
2007		0.075
2008		0.070
2009		0.070
2010		0.065
2011		0.060
2012		0.055
2013		0.050
2014		0.045
2015		0.040
2016		0.040
2017		0.035
2018		0.035
2019		0.040
2020		0.040
2021		0.035
2022		0.035
2023		0.030
2024		0.025
2025		0.020
2026		0.015
2027		0.010
2028		0.010
2029		0.010
2030		0.015
2031		0.020
2032		0.025
2033		0.030
2034		0.035
2035		0.040
2036		0.040
2037		0.040
2038		0.035
2039		0.030
2040		0.025
2041		0.020
2042		0.015
2043		0.015
2044		0.015
2045		0.015
2046		0.015
2047		0.015
2048		0.015
2049		0.010
2050		0.005
2051		-0.005
2052		-0.010
2053		-0.015
2054		-0.015
2055		-0.005
2056		0.015
2057		0.045
2058		0.090
2059		0.145
2060		0.210
2061		0.285
2062		0.365
2063		0.445
2064		0.520
2065		0.585
2066		0.630
2067		0.655
2068		0.655
2069		0.630
2070		0.570
2071		0.490
2072		0.390
2073		0.280
2074		0.165
2075		0.065
2076		-0.015
2077		-0.075
2078		-0.105
2079		-0.115
2080		-0.100
2081		-0.080
2082		-0.050
2083		-0.020
2084		0.005
2085		0.020
2086		0.030
2087		0.030
2088		0.030
2089		0.030
2090		0.030
2091		0.030
2092		0.035
2093		0.040
2094		0.040
2095		0.040
2096		0.040
2097		0.035
2098		0.030
2099		0.025
2100		0.020
2101		0.015
2102		0.015
2103		0.015
2104		0.015
2105		0.020
2106		0.020
2107		0.025
2108		0.025
2109		0.025
2110		0.030
2111		0.030
2112		0.025
2113		0.025
2114		0.025
2115		0.025
2116		0.025
2117		0.025
2118		0.025
2119		0.030
2120		0.030
2121		0.030
2122		0.030
2123		0.030
2124		0.030
2125		0.030
2126		0.030
2127		0.030
2128		0.035
2129		0.035
2130		0.040
2131		0.045
2132		0.050
2133		0.055
2134		0.060
2135		0.065
2136		0.065
2137		0.070
2138		0.065
2139		0.065
2140		0.060
2141		0.055
2142		0.050
2143		0.050
2144		0.050
2145		0.050
2146		0.055
2147		0.055
2148		0.060
2149		0.065
2150		0.070
2151		0.075
2152		0.080
2153		0.085
2154		0.095
2155		0.100
2156		0.110
2157		0.120
2158		0.125
2159		0.130
2160		0.135
2161		0.140
2162		0.140
2163		0.140
2164		0.145
2165		0.145
2166		0.150
2167		0.155
2168		0.165
2169		0.170
2170		0.180
2171		0.185
2172		0.190
2173		0.190
2174		0.190
2175		0.190
2176		0.190
2177		0.185
2178		0.185
2179		0.185
2180		0.185
2181		0.190
2182		0.195
2183		0.195
2184		0.195
2185		0.195
2186		0.190
2187		0.190
2188		0.180
2189		0.175
2190		0.165
2191		0.155
2192		0.145
2193		0.135
2194		0.125
2195		0.110
2196		0.100
2197		0.090
2198		0.075
2199		0.060
2200		0.050
2201		0.040
2202		0.030
2203		0.020
2204		0.010
2205		0.005
2206		0.000
2207		-0.010
2208		-0.015
2209		-0.020
2210		-0.025
2211		-0.030
2212		-0.040
2213		-0.045
2214		-0.050
2215		-0.055
2216		-0.055
2217		-0.060
2218		-0.060
2219		-0.065
2220		-0.065
2221		-0.070
2222		-0.080
2223		-0.085
2224		-0.095
2225		-0.100
2226		-0.105
2227		-0.110
2228		-0.110
2229		-0.110
2230		-0.110
2231		-0.105
2232		-0.105
2233		-0.100
2234		-0.100
2235		-0.100
2236		-0.100
2237		-0.105
2238		-0.105
2239		-0.105
2240		-0.105
2241		-0.105
2242		-0.105
2243		-0.105
2244		-0.105
2245		-0.110
2246		-0.110
2247		-0.115
2248		-0.115
2249		-0.115
2250		-0.120
2251		-0.120
2252		-0.115
2253		-0.115
2254		-0.110
2255		-0.110
2256		-0.105
2257		-0.105
2258		-0.105
2259		-0.105
2260		-0.105
2261		-0.105
2262		-0.110
2263		-0.110
2264		-0.110
2265		-0.110
2266		-0.105
2267		-0.105
2268		-0.100
2269		-0.095
2270		-0.095
2271		-0.090
2272		-0.090
2273		-0.090
2274		-0.095
2275		-0.100
2276		-0.100
2277		-0.105
2278		-0.105
2279		-0.105
2280		-0.105
2281		-0.100
2282		-0.090
2283		-0.085
2284		-0.080
2285		-0.075
2286		-0.070
2287		-0.070
2288		-0.075
2289		-0.080
2290		-0.085
2291		-0.090
2292		-0.095
2293		-0.095
2294		-0.095
2295		-0.090
2296		-0.090
2297		-0.085
2298		-0.085
2299		-0.085
2300		-0.085
2301		-0.085
2302		-0.090
2303		-0.090
2304		-0.090
2305		-0.090
2306		-0.090
2307		-0.085
2308		-0.080
2309		-0.080
2310		-0.080
2311		-0.080
2312		-0.085
2313		-0.090
2314		-0.095
2315		-0.100
2316		-0.100
2317		-0.105
2318		-0.105
2319		-0.110
2320		-0.105
2321		-0.105
2322		-0.105
2323		-0.105
2324		-0.100
2325		-0.100
2326		-0.095
2327		-0.095
2328		-0.095
2329		-0.095
2330		-0.095
2331		-0.100
2332		-0.100
2333		-0.105
2334		-0.105
2335		-0.105
2336		-0.110
2337		-0.110
2338		-0.110
2339		-0.110
2340		-0.110
2341		-0.115
2342		-0.115
2343		-0.115
2344		-0.120
2345		-0.120
2346		-0.120
2347		-0.115
2348		-0.110
2349		-0.105
2350		-0.100
2351		-0.095
2352		-0.090
2353		-0.090
2354		-0.090
2355		-0.090
2356		-0.095
2357		-0.100
2358		-0.105
2359		-0.105
2360		-0.110
2361		-0.110
2362		-0.105
2363		-0.105
2364		-0.100
2365		-0.095
2366		-0.095
2367		-0.090
2368		-0.090
2369		-0.090
2370		-0.095
2371		-0.095
2372		-0.100
2373		-0.105
2374		-0.110
2375		-0.110
2376		-0.115
2377		-0.110
2378		-0.110
2379		-0.105
2380		-0.100
2381		-0.095
2382		-0.090
2383		-0.085
2384		-0.085
2385		-0.090
2386		-0.095
2387		-0.105
2388		-0.110
2389		-0.115
2390		-0.120
2391		-0.125
2392		-0.120
2393		-0.115
2394		-0.110
2395		-0.105
2396		-0.095
2397		-0.090
2398		-0.085
2399		-0.085
2400		-0.085
2401		-0.085
2402		-0.090
2403		-0.090
2404		-0.095
2405		-0.095
2406		-0.095
2407		-0.095
2408		-0.095
2409		-0.095
2410		-0.090
2411		-0.090
2412		-0.090
2413		-0.090
2414		-0.090
2415		-0.090
2416		-0.090
2417		-0.095
2418		-0.095
2419		-0.095
2420		-0.100
2421		-0.100
2422		-0.100
2423		-0.100
2424		-0.095
2425		-0.090
2426		-0.085
2427		-0.080
2428		-0.075
2429		-0.065
2430		-0.060
2431		-0.060
2432		-0.055
2433		-0.055
2434		-0.055
2435		-0.055
2436		-0.055
2437		-0.055
2438		-0.050
2439		-0.050
2440		-0.050
2441		-0.045
2442		-0.040
2443		-0.035
2444		-0.035
2445		-0.030
2446		-0.025
2447		-0.025
2448		-0.025
2449		-0.025
2450		-0.025
2451		-0.030
2452		-0.030
2453		-0.035
2454		-0.040
2455		-0.040
2456		-0.045
2457		-0.045
2458		-0.050
2459		-0.050
2460		-0.055
2461		-0.060
2462		-0.060
2463		-0.065
2464		-0.070
2465		-0.070
2466		-0.075
2467		-0.075
2468		-0.075
2469		-0.075
2470		-0.080
2471		-0.080
2472		-0.080
2473		-0.080
2474		-0.085
2475		-0.090
2476		-0.090
2477		-0.095
2478		-0.100
2479		-0.100
2480		-0.105
2481		-0.105
2482		-0.105
2483		-0.105
2484		-0.105
2485		-0.105
2486		-0.105
2487		-0.100
2488		-0.100
2489		-0.100
2490		-0.100
2491		-0.100
2492		-0.095
2493		-0.095
2494		-0.090
2495		-0.085
2496		-0.085
2497		-0.085
2498		-0.085
2499		-0.115
2500		-0.115
